Reference,種類,URL,Created by,Created time,Multi-select
交通部數據匯流平臺,資源素材,https://ticp.motc.gov.tw/ConvergeProj/index,彥佑 陳,2025年12月6日 下午2:28,
交通部高公局交通資料庫,資源素材,https://tisvcloud.freeway.gov.tw/,彥佑 陳,2025年12月6日 下午2:28,
1968 事件,,,彥佑 陳,2025年12月6日 下午2:28,
氣象資料開放平臺,資源素材,https://opendata.cwb.gov.tw/index,彥佑 陳,2025年12月6日 下午2:28,
每日天文現象,資源素材,https://www.cwb.gov.tw/V8/C/D/astronomy_data.html,彥佑 陳,2025年12月6日 下午2:28,
臺北捷運每日分時各站OD流量統計資料_201701-202210,,,彥佑 陳,2025年12月6日 下午2:28,
